Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
RELIANCE,EQ,22-Dec-22,"2,584.50","2,598.00","2,604.65","2,566.75","2,577.00","2,577.80","2,582.55","34,38,692","8,88,05,81,065.90","1,49,770","14,90,951",43.36
RELIANCE,EQ,23-Dec-22,"2,577.80","2,563.30","2,590.50","2,492.25","2,508.50","2,502.20","2,540.02","47,33,657","12,02,35,88,105.45","2,31,798","20,70,781",43.75
RELIANCE,EQ,26-Dec-22,"2,502.20","2,514.75","2,542.00","2,492.40","2,525.00","2,524.05","2,523.81","27,64,496","6,97,70,59,265.30","1,17,927","12,25,057",44.31
RELIANCE,EQ,27-Dec-22,"2,524.05","2,530.00","2,548.80","2,515.25","2,542.70","2,544.70","2,534.62","26,59,749","6,74,14,52,650.05","1,38,609","12,46,382",46.86
RELIANCE,EQ,28-Dec-22,"2,544.70","2,538.00","2,549.80","2,521.50","2,542.00","2,544.45","2,537.68","34,42,509","8,73,59,79,365.75","1,58,888","19,08,597",55.44
RELIANCE,EQ,29-Dec-22,"2,544.45","2,527.00","2,548.90","2,525.50","2,544.95","2,543.30","2,536.86","31,98,493","8,11,41,44,680.25","1,24,496","16,08,415",50.29
RELIANCE,EQ,30-Dec-22,"2,543.30","2,545.10","2,577.00","2,541.10","2,547.00","2,547.20","2,559.73","33,64,092","8,61,11,63,857.75","1,47,642","15,57,651",46.3
RELIANCE,EQ,02-Jan-23,"2,547.20","2,550.00","2,579.00","2,548.20","2,577.90","2,575.90","2,564.68","24,53,414","6,29,22,10,762.05","97,175","12,51,899",51.03
RELIANCE,EQ,03-Jan-23,"2,575.90","2,565.05","2,573.00","2,547.80","2,555.80","2,557.05","2,558.48","35,34,596","9,04,31,99,290.70","1,35,268","18,76,879",53.1
RELIANCE,EQ,04-Jan-23,"2,557.05","2,557.00","2,561.05","2,514.00","2,516.65","2,518.55","2,529.71","42,75,746","10,81,63,99,502.15","1,82,754","26,33,647",61.6
RELIANCE,EQ,05-Jan-23,"2,518.55","2,523.50","2,536.40","2,504.00","2,521.80","2,514.05","2,516.50","62,93,519","15,83,76,39,744.30","1,97,434","43,98,483",69.89
RELIANCE,EQ,06-Jan-23,"2,514.05","2,526.65","2,547.95","2,518.30","2,537.00","2,536.90","2,534.90","29,30,338","7,42,81,25,091.15","1,57,118","12,77,644",43.6
RELIANCE,EQ,09-Jan-23,"2,536.90","2,545.30","2,602.00","2,543.35","2,594.00","2,596.80","2,582.50","49,48,549","12,77,96,28,419.65","2,54,220","31,20,482",63.06
RELIANCE,EQ,10-Jan-23,"2,596.80","2,606.00","2,606.00","2,546.00","2,561.95","2,558.40","2,568.83","37,13,755","9,53,99,91,868.55","2,34,537","20,57,669",55.41
RELIANCE,EQ,11-Jan-23,"2,558.40","2,552.50","2,558.00","2,521.10","2,525.00","2,526.15","2,533.89","53,11,657","13,45,91,64,952.45","2,08,828","34,71,261",65.35
RELIANCE,EQ,12-Jan-23,"2,526.15","2,524.85","2,532.50","2,465.00","2,475.00","2,471.60","2,487.49","81,63,366","20,30,62,72,476.25","3,40,401","52,51,960",64.34
RELIANCE,EQ,13-Jan-23,"2,471.60","2,458.40","2,472.90","2,434.60","2,467.90","2,467.60","2,454.77","95,15,473","23,35,82,92,572.35","3,28,122","63,24,627",66.47
RELIANCE,EQ,16-Jan-23,"2,467.60","2,472.70","2,479.65","2,427.00","2,444.50","2,444.10","2,445.10","62,87,407","15,37,33,25,638.55","1,74,901","44,95,622",71.5
RELIANCE,EQ,17-Jan-23,"2,444.10","2,458.00","2,483.00","2,450.60","2,478.40","2,478.80","2,466.88","49,61,585","12,23,96,50,262.85","2,05,841","30,03,139",60.53
RELIANCE,EQ,18-Jan-23,"2,478.80","2,473.50","2,491.10","2,460.35","2,474.70","2,474.70","2,476.84","62,06,382","15,37,22,36,749.05","1,85,546","42,05,017",67.75
RELIANCE,EQ,19-Jan-23,"2,474.70","2,472.90","2,481.15","2,456.65","2,469.00","2,472.05","2,472.43","55,10,333","13,62,38,98,939.80","1,53,940","37,31,869",67.72
RELIANCE,EQ,20-Jan-23,"2,472.05","2,475.00","2,475.00","2,437.25","2,443.00","2,442.65","2,452.37","68,90,325","16,89,76,29,055.85","2,29,958","40,17,843",58.31
RELIANCE,EQ,23-Jan-23,"2,442.65","2,449.00","2,466.20","2,425.00","2,428.00","2,430.30","2,440.34","50,55,324","12,33,67,10,126.65","2,18,454","29,19,027",57.74
RELIANCE,EQ,24-Jan-23,"2,430.30","2,440.00","2,443.65","2,387.35","2,413.00","2,415.95","2,414.29","76,09,558","18,37,16,44,661.35","2,32,964","43,90,622",57.7
RELIANCE,EQ,25-Jan-23,"2,415.95","2,412.45","2,414.70","2,380.00","2,384.00","2,382.55","2,392.49","57,15,684","13,67,47,34,133.05","3,34,425","41,12,953",71.96
RELIANCE,EQ,27-Jan-23,"2,382.55","2,384.40","2,387.35","2,311.65","2,339.00","2,337.35","2,337.64","1,19,20,991","27,86,69,37,052.40","4,56,285","81,75,005",68.58
RELIANCE,EQ,30-Jan-23,"2,337.35","2,331.70","2,371.90","2,301.00","2,363.55","2,359.75","2,340.91","1,00,47,822","23,52,10,08,144.60","3,12,077","71,39,843",71.06
RELIANCE,EQ,31-Jan-23,"2,359.75","2,382.00","2,387.65","2,341.00","2,356.65","2,353.85","2,354.47","1,04,72,167","24,65,63,84,337.05","3,48,674","75,64,934",72.24
RELIANCE,EQ,01-Feb-23,"2,353.85","2,379.95","2,379.95","2,305.00","2,340.00","2,339.90","2,351.35","89,29,007","20,99,52,29,704.30","3,12,582","57,72,174",64.65
RELIANCE,EQ,02-Feb-23,"2,339.90","2,318.00","2,348.00","2,311.00","2,325.00","2,326.95","2,324.91","63,05,317","14,65,93,21,464.40","2,75,957","41,53,622",65.87
RELIANCE,EQ,03-Feb-23,"2,326.95","2,349.00","2,349.00","2,293.00","2,330.00","2,329.00","2,318.88","1,13,98,850","26,43,25,10,094.95","4,06,488","79,73,555",69.95
RELIANCE,EQ,06-Feb-23,"2,329.00","2,315.00","2,321.00","2,305.80","2,312.90","2,311.45","2,311.92","68,47,679","15,83,13,18,495.45","2,93,805","51,91,602",75.82
RELIANCE,EQ,07-Feb-23,"2,311.45","2,312.00","2,327.40","2,293.00","2,304.30","2,305.90","2,312.27","69,85,001","16,15,12,25,520.20","2,81,342","47,49,078",67.99
RELIANCE,EQ,08-Feb-23,"2,305.90","2,313.00","2,359.90","2,307.00","2,349.65","2,351.95","2,344.97","97,65,490","22,89,98,22,662.10","2,83,018","67,67,529",69.3
RELIANCE,EQ,09-Feb-23,"2,351.95","2,353.45","2,370.85","2,334.00","2,353.60","2,356.05","2,354.91","60,79,228","14,31,60,05,705.25","2,64,097","38,62,283",63.53
RELIANCE,EQ,10-Feb-23,"2,356.05","2,354.90","2,354.90","2,321.30","2,336.50","2,336.65","2,331.77","49,79,789","11,61,17,24,209.05","1,88,258","26,34,108",52.9
RELIANCE,EQ,13-Feb-23,"2,336.65","2,340.20","2,350.00","2,313.55","2,324.60","2,323.35","2,323.49","47,77,674","11,10,08,81,219.90","1,51,763","27,80,205",58.19
RELIANCE,EQ,14-Feb-23,"2,323.35","2,329.95","2,381.90","2,323.65","2,380.00","2,378.10","2,365.58","66,09,564","15,63,54,20,227.95","2,27,277","40,49,724",61.27
RELIANCE,EQ,15-Feb-23,"2,378.10","2,376.00","2,437.20","2,373.00","2,435.05","2,431.95","2,417.55","1,54,61,902","37,37,99,21,255.85","3,38,567","1,16,44,633",75.31
RELIANCE,EQ,16-Feb-23,"2,431.95","2,449.45","2,463.80","2,425.05","2,427.50","2,430.05","2,445.33","79,67,558","19,48,33,14,957.80","3,20,609","55,39,874",69.53
RELIANCE,EQ,17-Feb-23,"2,430.05","2,420.00","2,447.50","2,410.60","2,438.00","2,440.20","2,433.17","54,50,092","13,26,09,80,980.85","1,72,321","34,30,691",62.95
RELIANCE,EQ,20-Feb-23,"2,440.20","2,445.00","2,449.75","2,410.10","2,414.70","2,414.40","2,429.58","40,78,245","9,90,84,16,474.30","1,69,244","22,28,609",54.65
RELIANCE,EQ,21-Feb-23,"2,414.40","2,424.00","2,446.80","2,412.35","2,435.20","2,434.10","2,428.09","61,43,298","14,91,64,58,652.90","1,90,616","37,95,226",61.78
RELIANCE,EQ,22-Feb-23,"2,434.10","2,425.95","2,430.00","2,375.05","2,377.00","2,378.90","2,395.74","50,87,729","12,18,88,88,236.70","2,04,778","31,93,068",62.76
RELIANCE,EQ,23-Feb-23,"2,378.90","2,378.00","2,394.75","2,361.35","2,366.50","2,367.50","2,377.10","45,46,655","10,80,78,33,963.95","1,76,202","25,00,479",55
RELIANCE,EQ,24-Feb-23,"2,367.50","2,372.00","2,396.15","2,368.00","2,387.90","2,383.70","2,381.54","43,53,814","10,36,87,96,539.40","1,57,064","24,64,268",56.6
RELIANCE,EQ,27-Feb-23,"2,383.70","2,382.00","2,389.65","2,351.70","2,365.05","2,367.85","2,366.20","51,68,667","12,23,00,93,429.05","1,93,653","32,33,733",62.56
RELIANCE,EQ,28-Feb-23,"2,367.85","2,356.10","2,367.00","2,313.65","2,319.95","2,322.55","2,333.98","1,01,50,245","23,69,04,36,663.80","3,13,946","63,72,032",62.78
RELIANCE,EQ,01-Mar-23,"2,322.55","2,344.00","2,345.50","2,323.25","2,345.40","2,343.90","2,336.64","53,30,852","12,45,62,84,409.25","2,30,019","31,03,711",58.22
RELIANCE,EQ,02-Mar-23,"2,343.90","2,337.00","2,351.65","2,321.60","2,329.40","2,326.05","2,333.58","43,07,425","10,05,17,32,048.90","1,88,182","24,22,136",56.23
RELIANCE,EQ,03-Mar-23,"2,326.05","2,349.15","2,393.45","2,341.55","2,382.00","2,385.40","2,366.67","67,58,115","15,99,42,00,481.70","1,97,227","41,46,741",61.36
